optimization_stamp,window_index,frame_stamp,jacobian_count,covariance_radius,alpha_weight,constraint_count,mean_beta_weight,mean_hybrid_weight,reference_radius,feature_source
1403638523.1778295,0,1403638522.1778295,0,-1,1,0,1,1,0.00033355710421806593,0
1403638523.1778295,1,1403638522.2778294,73,8.5360468272362844e-05,3.9076297373835014,73,3.0273972602739727,3.3965035411043134,0.00033355710421806593,0
1403638523.1778295,2,1403638522.3778296,46,0.00013015857101987552,2.5626979583782536,46,2.8913043478260869,2.9806425973803492,0.00033355710421806593,0
1403638523.1778295,3,1403638522.4778295,38,0.00016047299213989118,2.0785871801236806,38,2.8377192982456143,2.7356375788175988,0.00033355710421806593,0
1403638523.1778295,4,1403638522.5778294,43,0.00016973835491799786,1.9651251149406415,43,2.6996124031007751,2.4835491137309349,0.00033355710421806593,0
1403638523.1778295,5,1403638522.6778295,44,0.00033543574235634608,0.99439940977940156,44,3.0295454545454548,2.1831276734837677,0.00033355710421806593,0
1403638523.1778295,6,1403638522.7778294,46,0.00058321607276505126,0.571927146377599,46,2.5163043478260865,1.7554121913030378,0.00033355710421806593,0
1403638523.1778295,7,1403638522.8778296,50,0.00082929225327670064,0.40221900409670375,50,2.1237142857142857,1.4321104917933745,0.00033355710421806593,0
1403638523.1778295,8,1403638522.9778295,72,0.00052651718234426935,0.63351608533065074,72,2.3795634920634918,1.3724189620877487,0.00033355710421806593,0
1403638523.1778295,9,1403638523.0778294,70,0.00074749290642666018,0.44623447440138708,70,1.5505782312925167,1.0989279490436759,0.00033355710421806593,0
1403638523.1778295,10,1403638523.1778295,70,0.00074781962766743391,0.44603951524845981,70,1.2036451247165525,0.95409455886568983,0.00033355710421806593,0
1403638523.1778295,0,1403638522.1778295,0,-1,1,0,1,1,0.00033355710421806593,1
1403638523.1778295,1,1403638522.2778294,82,8.2108757356982582e-05,4,82,3.0731707317073171,3.4643766752869656,0.00033355710421806593,1
1403638523.1778295,2,1403638522.3778296,70,0.0001090525397835201,3.0586825843782202,70,2.7214285714285715,2.9767112265003206,0.00033355710421806593,1
1403638523.1778295,3,1403638522.4778295,65,0.00012451777462184522,2.6787910820849761,65,2.7128205128205125,2.7890867099895109,0.00033355710421806593,1
1403638523.1778295,4,1403638522.5778294,67,0.00027069395946909875,1.2322295808604602,67,2.9751243781094523,2.3281251908187728,0.00033355710421806593,1
1403638523.1778295,5,1403638522.6778295,80,0.00023017074175070524,1.4491724781394546,80,2.756875,2.1294684376800803,0.00033355710421806593,1
1403638523.1778295,6,1403638522.7778294,93,0.00033355710421806593,1,93,2.5354838709677425,1.8199991224505114,0.00033355710421806593,1
1403638523.1778295,7,1403638522.8778296,92,0.00033763761498332274,0.98791452556179693,92,2.4061076604554859,1.687222490494219,0.00033355710421806593,1
1403638523.1778295,8,1403638522.9778295,123,0.00031607103247533521,1.0553232341660264,123,2.3057200929152146,1.598220315686911,0.00033355710421806593,1
1403638523.1778295,9,1403638523.0778294,109,0.00049102606354582538,0.67930631178590473,109,1.5548419979612647,1.2745916658101739,0.00033355710421806593,1
1403638523.1778295,10,1403638523.1778295,104,0.00059832247988516696,0.55748716692390343,104,1.2093368437118428,1.0875105303360917,0.00033355710421806593,1
1403638523.2778294,0,1403638522.1778295,0,-1,1,0,1,1,0.00035143957358843407,0
1403638523.2778294,1,1403638522.2778294,73,0.00032011044581250976,1.0978697452262272,73,3.0273972602739727,1.8003244402339775,0.00035143957358843407,0
1403638523.2778294,2,1403638522.3778296,45,0.00049291961041736713,0.71297543486018244,45,2.911111111111111,1.5849779808594406,0.00035143957358843407,0
1403638523.2778294,3,1403638522.4778295,38,0.00060153977309019971,0.58423331142849699,38,2.8289473684210527,1.4459999247484532,0.00035143957358843407,0
1403638523.2778294,4,1403638522.5778294,43,0.00063422854573479809,0.55412134308976391,43,2.693798449612403,1.3147951851643533,0.00035143957358843407,0
1403638523.2778294,5,1403638522.6778295,44,0.0010383055249238856,0.33847414383564683,44,3.0250000000000004,1.1997353383903162,0.00035143957358843407,0
1403638523.2778294,6,1403638522.7778294,46,0.0016383200355385159,0.25,46,2.5126811594202896,1.0024233983260913,0.00035143957358843407,0
1403638523.2778294,7,1403638522.8778296,48,0.0030301506150209154,0.25,48,2.0425595238095235,0.86560896955245081,0.00035143957358843407,0
1403638523.2778294,8,1403638522.9778295,70,0.0012709970867260257,0.27650698593944917,70,2.3457653061224488,0.85475592982162951,0.00035143957358843407,0
1403638523.2778294,9,1403638523.1778295,68,0.0023095454837655503,0.25,68,1.5308239962651724,0.69892999175041415,0.00035143957358843407,0
1403638523.2778294,10,1403638523.2778294,65,0.0024303836584749312,0.25,65,1.1998229548229542,0.61653293586305313,0.00035143957358843407,0
1403638523.2778294,0,1403638522.1778295,0,-1,1,0,1,1,0.00035143957358843407,1
1403638523.2778294,1,1403638522.2778294,80,0.00031127509465322484,1.1290320993395067,80,3.0874999999999999,1.8447778562001129,0.00035143957358843407,1
1403638523.2778294,2,1403638522.3778296,69,0.00041064866307616754,0.85581570132434281,69,2.7391304347826089,1.5824640003288046,0.00035143957358843407,1
1403638523.2778294,3,1403638522.4778295,65,0.00046649456654707881,0.7533626301153642,65,2.7128205128205125,1.4785658831374549,0.00035143957358843407,1
1403638523.2778294,4,1403638522.5778294,66,0.0011169164485117355,0.31465162327649387,66,2.9747474747474745,1.2118217920323511,0.00035143957358843407,1
1403638523.2778294,5,1403638522.6778295,79,0.00069077647030989686,0.50876019768127145,79,2.7727848101265824,1.1923592071215705,0.00035143957358843407,1
1403638523.2778294,6,1403638522.7778294,93,0.0006784620267681102,0.5179944635406275,93,2.530107526881721,1.1399065680754428,0.00035143957358843407,1
1403638523.2778294,7,1403638522.8778296,91,0.00069120649162542991,0.50844368194805944,91,2.3739403453689158,1.1007032095658105,0.00035143957358843407,1
1403638523.2778294,8,1403638522.9778295,121,0.00064065875187306923,0.54855970134013432,121,2.2591204250295158,1.0814703084641739,0.00035143957358843407,1
1403638523.2778294,9,1403638523.1778295,102,0.001785421133196742,0.25,102,1.5566448801742925,0.83782451231470267,0.00035143957358843407,1
1403638523.2778294,10,1403638523.2778294,102,0.0017847892816858421,0.25,102,1.2077225334578268,0.70939709421958452,0.00035143957358843407,1
1403638523.3778296,0,1403638522.1778295,0,-1,1,0,1,1,0.00036881582283863559,0
