stamp,raw_features,enhanced_features_before,enhanced_features_removed,enhanced_features_after,noisy_blocks,maximum_noise_ratio
1403638518.3778296,68,84,0,84,0,2.7290598219207833
1403638518.4778295,150,150,0,150,0,3.2402159244264506
1403638518.5778294,150,150,0,150,0,3.0203703703703706
1403638518.6778295,150,150,0,150,0,2.9160135289416598
1403638518.7778294,150,150,0,150,0,3.1071428571428572
1403638518.8778296,150,150,0,150,0,3.182978723404255
1403638518.9778295,150,150,0,150,0,2.9656192042551708
1403638519.0778294,150,150,0,150,0,2.7690623282766893
1403638519.1778295,150,150,0,150,0,4.9716312056737584
1403638519.2778294,150,150,0,150,0,2.750967337667424
1403638519.3778296,150,150,0,150,0,3.2610389610389605
1403638519.4778295,150,150,0,150,0,2.8544380188477074
1403638519.5778294,150,150,0,150,0,3.063736263736264
1403638519.6778295,150,150,0,150,0,3.3969969969969966
1403638519.7778294,150,150,0,150,0,2.8132450331125836
1403638519.8778296,150,150,0,150,0,2.8052434456928839
1403638519.9778295,150,150,0,150,0,2.6491416309012874
1403638520.0778294,150,150,0,150,0,4.3556882022471912
1403638520.1778295,150,150,0,150,0,4.5904365904365907
1403638520.2778294,150,150,0,150,0,2.811258278145695
1403638520.3778296,150,150,0,150,0,2.9790082462891694
1403638520.4778295,150,150,0,150,0,4.9268041237113405
1403638520.5778294,150,150,0,150,0,2.9018798989085051
1403638520.6778295,150,150,0,150,0,2.6863905325443787
1403638520.7778294,150,150,0,150,0,2.680797569848627
1403638520.8778296,150,150,0,150,0,3.6279816513761469
1403638520.9778295,150,150,0,150,0,2.6681922196796335
1403638521.0778294,150,150,0,150,0,3.2532051282051282
1403638521.1778295,150,150,0,150,0,2.8106103577606465
1403638521.2778294,150,150,0,150,0,4.1400560224089631
1403638521.3778296,150,150,0,150,0,2.8166666666666673
1403638521.4778295,150,150,0,150,0,3.0210132027889034
1403638521.5778294,150,150,0,150,0,2.8419625670320783
1403638521.6778295,150,150,0,150,0,3.1965811965811977
1403638521.7778294,150,150,0,150,0,3.6681003584229388
1403638521.8778296,150,150,0,150,0,2.9040616106824615
1403638521.9778295,150,145,0,145,0,2.8981405122585238
1403638522.0778294,144,145,0,145,0,4.2214285714285715
1403638522.1778295,106,132,0,132,0,3.2294275491949915
1403638522.2778294,85,122,0,122,0,3.360544217687075
1403638522.3778296,58,104,3,101,1,12.31875
1403638522.4778295,55,121,1,120,1,15.925925925925926
1403638522.5778294,72,114,0,114,0,6.2332089552238807
1403638522.6778295,58,130,0,130,0,7.5294117647058831
1403638522.7778294,56,143,0,143,0,8.8059360730593603
