sequence,method,enhancement,estimate_poses,matched_poses,time_coverage,ate_rmse_se3_m,pipeline_success,baseline_ate_rmse_se3_m,dual_vs_baseline_reduction_percent,weighting_ate_rmse_se3_m,dual_vs_weighting_reduction_percent,bnr_frames,frames_with_bnr_removal,enhanced_features_before,enhanced_features_removed,source0_weight_rows,source1_weight_rows,enhancement_frames,enhancement_processed_frames,enhancement_skipped_existing,enhancement_statistics_scope,enhancement_timing_scope,enhancement_mean_inference_seconds,mean_input_intensity,mean_output_intensity
MH_01_easy,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1827,1816,0.9921217096730129,0.2071012977544051,True,0.1516878002,-36.53128167284551,0.1606913457,-28.88142597364852,1837,220,262262,593,20097,20097,3682,3682,0,all_selected_frames,processed_frames_this_run,0.14729402504069827,86.5540851598646,135.0093580917421
MH_02_easy,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1507,1495,0.9911154991636019,0.1410590635050053,True,0.1810042821,22.068659443606997,0.1151121291,-22.54057379345727,1517,136,212072,306,16577,16577,3040,3040,0,all_selected_frames,processed_frames_this_run,0.1489947931249868,86.27138309810533,135.02759910614822
MH_03_medium,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1312,1301,0.9714709123370926,0.12259132479816523,True,0.1325259023,7.496328890744529,0.1429917239,14.266839048742161,1346,298,176446,1028,14432,14432,2700,2700,0,all_selected_frames,processed_frames_this_run,0.1493938430369949,87.77363908486834,136.03327017562222
MH_04_difficult,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,995,984,0.9783464538566207,0.39955858434972036,True,0.3905366256,-2.3101440833774483,0.35807017,-11.586671503443121,1013,541,119628,2472,10945,10945,2033,2033,0,all_selected_frames,processed_frames_this_run,0.166633630004812,74.68133947828473,121.35061747402347
MH_05_difficult,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1095,1084,0.9630281644433802,0.4537729533963652,True,0.5747518173,21.048887582810053,0.495006549,8.329909106643925,1133,466,137029,2340,12045,12045,2273,0,2273,all_selected_frames,processed_frames_this_run,0.13676994333091222,73.02883001247298,120.41514817479437
V1_01_easy,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1401,1391,0.961868773932432,0.053298746046639374,True,0.0652912868,18.367750646569622,0.0562408258,5.231217201225065,1454,10,149169,14,15411,15411,2912,2912,0,all_selected_frames,processed_frames_this_run,0.14413329896976623,134.15953945480703,177.83831988704725
V1_02_medium,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,801,792,0.9362200137925079,0.12671199233697725,True,0.1965620883,35.535894315700936,0.1950306558,35.02970503933606,851,5,64819,12,8811,8811,1710,1710,0,all_selected_frames,processed_frames_this_run,0.1395157281873487,138.0949869532449,180.08487672574242
V1_03_difficult,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1003,994,0.9329608955413858,0.1976632514454714,True,0.2505984771,21.123522483899645,0.280472829,29.524991012419456,1071,5,68304,8,11033,11033,2149,2149,0,all_selected_frames,processed_frames_this_run,0.14395371577483676,114.5655176019421,166.33333511623212
V2_01_easy,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1084,1076,0.9504168508752698,0.1252512724259388,True,0.1135135527,-10.340368569874567,0.1198626872,-4.495631920004886,1138,14,117304,24,11924,11924,2280,2280,0,all_selected_frames,processed_frames_this_run,0.14491348921054803,116.49426915044286,163.8753824900169
V2_02_medium,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1122,1115,0.955262034574477,0.13333017452654994,True,0.1574785707,15.334401414814245,0.1466876296,9.106054211847505,1170,10,97472,28,12342,12342,2348,2348,0,all_selected_frames,processed_frames_this_run,0.1466661372233323,121.06176749258272,167.21357943151972
V2_03_difficult,clean_room_dual_branch_proxy,folded_grayscale_dce_openvino,1095,1088,0.9374732298565662,0.22472647947318083,True,0.1996532093,-12.558410786928853,0.2442174879,7.981004388514624,1166,86,76448,221,12045,12045,1922,1922,0,all_selected_frames,processed_frames_this_run,0.15668560728402675,111.48960768739715,158.8508909787797
