sequence,status,pipeline_success,matched_poses,time_coverage,ate_rmse_se3_m,ate_mean_se3_m,baseline_ate_rmse_se3_m,tw_ate_rmse_se3_m,enhancement_frames,enhancement_processed_frames,enhancement_mean_inference_seconds,mean_input_intensity,mean_output_intensity,bnr_frames,frames_with_bnr_removal,enhanced_features_before,enhanced_features_removed,reduction_vs_baseline_pct,reduction_vs_tw_pct
MH_01_easy,complete,True,1817,0.9926650384769762,0.165240902529566,0.14581838350831472,0.15168780020680228,0.16069134571909421,3682,3682,0.007807331966314613,86.5540851598646,146.8816802117824,1838,146,269587,1126,-8.934866419241501,-2.8312394734840907
MH_02_easy,complete,True,1496,0.9911154944564237,0.17103688724110488,0.1215790663578119,0.18100428212449432,0.1151121290633987,3040,3040,0.009189902500005892,86.27138309810533,147.67842655240264,1517,115,219444,963,5.506717723138663,-48.582854502591374
MH_03_medium,complete,True,1308,0.9766580190242832,0.17049889336785778,0.15084879610918353,0.1325259022906484,0.14299172387747966,2700,2700,0.00799374781466516,87.77363908486834,149.40816242694382,1348,171,182893,655,-28.653259793643322,-19.23689619543802
MH_04_difficult,complete,True,982,0.9763779541417162,0.26220519648439994,0.24872764103785125,0.3905366256191222,0.35807017001258484,2033,2033,0.008237943531561915,74.68133947828473,148.67915536707275,1014,205,137012,879,32.86028011618039,26.772677971140574
MH_05_difficult,complete,True,1075,0.9559859176471377,0.46200136279056103,0.4355539929498366,0.5747518172751903,0.49500654902907915,2273,2273,0.00904735208993638,73.02883001247298,147.63885111058394,1134,214,155367,1022,19.617241928727044,6.667626176513318
V1_01_easy,complete,True,1390,0.9611817238253629,0.05489131353220202,0.05074831015542619,0.06529128682403589,0.05624082584151147,2912,2912,0.008887938049506024,134.15953945480703,161.93401703934504,1454,70,145327,136,15.928577606170395,2.399524347512999
V1_02_medium,complete,True,795,0.9409011149775316,0.17286894036263994,0.14835763084676112,0.19656208830293212,0.19503065579730636,1710,1710,0.011547636608211924,138.0949869532449,163.01113205266788,853,66,66770,102,12.053773006205258,11.36319587506227
V1_03_difficult,complete,True,989,0.9283054020528759,0.18243796702986756,0.16396358677181866,0.2505984771310602,0.2804728289606398,2149,2149,0.01055668571444344,114.5655176019421,162.64414167179234,1072,103,74046,256,27.199091902520006,34.95342571830014
V2_01_easy,complete,True,1076,0.9504168508752698,0.12909653826286638,0.09489625483632214,0.11351355265474633,0.11986268715866603,2280,2280,0.010466827412165003,116.49426915044286,161.69997836301053,1138,131,113572,213,-13.72786354023823,-7.703691051058452
V2_02_medium,complete,True,1128,0.9663400101195125,0.12660000868477642,0.1092799591537946,0.1574785707114198,0.1466876295803516,2348,2348,0.008001172529940117,121.06176749258272,161.2378414187191,1171,83,93164,166,19.60810406593573,13.694147865803302
V2_03_difficult,complete,True,1094,0.9430406804400477,0.25863214363396314,0.23433616211183517,0.19965320934383676,0.24421748785433614,1922,1922,0.00944081930313177,111.48960768739715,161.57756504103293,1165,117,78556,331,-29.540689320227568,-5.902384758058211
