sequence,status,pipeline_success,matched_poses,time_coverage,ate_rmse_se3_m,ate_mean_se3_m,baseline_ate_rmse_se3_m,tw_ate_rmse_se3_m,enhancement_frames,enhancement_processed_frames,enhancement_mean_inference_seconds,mean_input_intensity,mean_output_intensity,bnr_frames,frames_with_bnr_removal,enhanced_features_before,enhanced_features_removed,reduction_vs_baseline_pct,reduction_vs_tw_pct
MH_01_easy,complete,True,1817,0.9926650384769762,0.19539369122523279,0.17093075913651543,0.15168780020680228,0.16069134571909421,3682,3682,0.005568431314455589,86.5540851598646,153.07137655024468,1838,187,267426,1226,-28.813056131636458,-21.595653052033065
MH_02_easy,complete,True,1496,0.9917736097555353,0.11442756364710428,0.08354534860816168,0.18100428212449432,0.1151121290633987,3040,3040,0.005910232236745192,86.27138309810533,152.8840672224215,1518,140,217417,943,36.78184720049812,0.5946944269594607
MH_03_medium,complete,True,1308,0.9766580190242832,0.15285171337521858,0.1391906746237549,0.1325259022906484,0.14299172387747966,2700,2700,0.00586531225940066,87.77363908486834,154.0055529329196,1347,246,180761,1191,-15.337236519991958,-6.89549662761413
MH_04_difficult,complete,True,982,0.9763779541417162,0.33182974315127245,0.3177431700279932,0.3905366256191222,0.35807017001258484,2033,2033,0.005476135858322003,74.68133947828473,154.19518611679453,1014,295,133676,1366,15.032362809706024,7.328291787162873
MH_05_difficult,complete,True,1084,0.9630281644433802,0.46171355695896904,0.4372277744961001,0.5747518172751903,0.49500654902907915,2273,2273,0.00506744698642818,73.02883001247298,153.43273558358726,1134,286,151407,1463,19.667316730222485,6.725767999516773
V1_01_easy,complete,True,1389,0.9604946786324521,0.0574701547568828,0.052439787041129095,0.06529128682403589,0.05624082584151147,2912,2912,0.005410806765207331,134.15953945480703,156.52115652140688,1453,264,129395,704,11.978829714647109,-2.1858301278071894
V1_02_medium,complete,True,792,0.9373902849035342,0.18241854855198983,0.17345200593343105,0.19656208830293212,0.19503065579730636,1710,1710,0.005998310000276226,138.0949869532449,154.1972890842095,852,202,61492,606,7.195456597482289,6.466730675624749
V1_03_difficult,complete,True,977,0.9180633150462065,0.13810860279861367,0.12087965114072828,0.2505984771310602,0.2804728289606398,2149,2149,0.00576886282004196,114.5655176019421,157.51039210443213,1073,221,63581,635,44.88849079223079,50.758651627536025
V2_01_easy,complete,True,1075,0.949539269644742,0.11821229894089906,0.085477091968027,0.11351355265474633,0.11986268715866603,2280,2280,0.005959751842014508,116.49426915044286,155.55124140693044,1139,353,105224,915,-4.139370300957858,1.3768990641618961
V2_02_medium,complete,True,1127,0.9654878612801836,0.13518160959325934,0.11789975980559457,0.1574785707114198,0.1466876295803516,2348,2348,0.005537468866993535,121.06176749258272,155.31127449647806,1172,287,85363,865,14.158727131845604,7.84389250818833
V2_03_difficult,complete,True,1095,0.9434689475975018,0.19997109082952325,0.1797801809352458,0.19965320934383676,0.24421748785433614,1922,1922,0.005972994380811899,111.48960768739715,154.77840011040047,1165,315,74559,1095,-0.15921681736607457,18.11762024642712
