sequence,status,pipeline_success,matched_poses,time_coverage,ate_rmse_se3_m,ate_mean_se3_m,baseline_ate_rmse_se3_m,tw_ate_rmse_se3_m,reduction_vs_baseline_pct,reduction_vs_tw_pct
MH_01_easy,complete,True,1817,0.9926650384769762,0.19539369122523279,0.17093075913651543,0.2149771450606859,0.20642224299045628,9.109551543223308,5.342714818641607
MH_02_easy,complete,True,1496,0.9917736097555353,0.11442756364710428,0.08354534860816168,,,,
MH_03_medium,complete,True,1308,0.9766580190242832,0.15285171337521858,0.1391906746237549,,,,
MH_04_difficult,complete,True,982,0.9763779541417162,0.33182974315127245,0.3177431700279932,,,,
MH_05_difficult,complete,True,1084,0.9630281644433802,0.46171355695896904,0.4372277744961001,,,,
V1_01_easy,complete,True,1389,0.9604946786324521,0.0574701547568828,0.052439787041129095,0.06529128682403589,0.05624082584151147,11.978829714647109,-2.1858301278071894
V1_02_medium,complete,True,792,0.9373902849035342,0.18241854855198983,0.17345200593343105,0.19656208830293212,0.19503065579730636,7.195456597482289,6.466730675624749
V1_03_difficult,complete,True,977,0.9180633150462065,0.13810860279861367,0.12087965114072828,0.2505984771310602,0.2804728289606398,44.88849079223079,50.758651627536025
V2_01_easy,complete,True,1075,0.949539269644742,0.11821229894089906,0.085477091968027,0.11351355265474633,0.11986268715866603,-4.139370300957858,1.3768990641618961
V2_02_medium,complete,True,1127,0.9654878612801836,0.13518160959325934,0.11789975980559457,0.1574785707114198,0.1466876295803516,14.158727131845604,7.84389250818833
V2_03_difficult,complete,True,1095,0.9434689475975018,0.19997109082952325,0.1797801809352458,0.19965320934383676,0.24421748785433614,-0.15921681736607457,18.11762024642712
