sequence,status,pipeline_success,matched_poses,time_coverage,ate_rmse_se3_m,ate_mean_se3_m,baseline_ate_rmse_se3_m,tw_ate_rmse_se3_m,enhancement_frames,enhancement_processed_frames,enhancement_mean_inference_seconds,mean_input_intensity,mean_output_intensity,bnr_frames,frames_with_bnr_removal,enhanced_features_before,enhanced_features_removed,reduction_vs_baseline_pct,reduction_vs_tw_pct
MH_01_easy,complete,True,1816,0.9921217070822106,0.23576364864286695,0.20193828173793943,0.15168780020680228,0.16069134571909421,3682,3682,0.005599865942481032,86.5540851598646,151.74975907237288,1839,178,268099,1058,-55.426902045807616,-46.718323620867054
MH_02_easy,complete,True,1495,0.9911154991636019,0.1462237015188973,0.1038668082563799,0.18100428212449432,0.1151121290633987,3040,3040,0.006225238684242198,86.27138309810533,151.79824870611847,1517,131,218317,816,19.21533579060578,-27.02718880159337
MH_03_medium,complete,True,1308,0.9766580190242832,0.17047148137748447,0.15266243679237684,0.1325259022906484,0.14299172387747966,2700,2700,0.0059410842221350995,87.77363908486834,153.055642985988,1347,224,181313,1066,-28.63257554256522,-19.217725861918016
MH_04_difficult,complete,True,982,0.9773622028258487,0.3101857477777244,0.29536808322729863,0.3905366256191222,0.35807017001258484,2033,2033,0.006140069699842142,74.68133947828473,152.69990977631275,1014,247,135099,1070,20.57447946502243,13.372915770441722
MH_05_difficult,complete,True,1067,0.9489436603571197,0.44700490730481685,0.43012845557219775,0.5747518172751903,0.49500654902907915,2273,2273,0.0059136415309809145,73.02883001247298,152.16058012943142,1135,276,153843,1364,22.226447334434166,9.697173061329023
V1_01_easy,complete,True,1386,0.9584335283112447,0.05970589532831976,0.05509432202957445,0.06529128682403589,0.05624082584151147,2912,2912,0.0055695640110091085,134.15953945480703,158.55778950252775,1453,233,127540,564,8.55457407474462,-6.161128388429023
V1_02_medium,complete,True,789,0.9338794631999959,0.15860984695618935,0.15176621855872618,0.19656208830293212,0.19503065579730636,1710,1710,0.006368229298231842,138.0949869532449,156.8310615162685,852,176,61907,514,19.3080169601437,18.67440207911152
V1_03_difficult,complete,True,984,0.9236499085643659,0.20381198874221176,0.18545938970407214,0.2505984771310602,0.2804728289606398,2149,2149,0.005050162354319193,114.5655176019421,159.33754211276522,1072,210,59838,591,18.669901319623595,27.332715437182777
V2_01_easy,complete,True,1075,0.9486616946911404,0.1267196734957815,0.0927387556371577,0.11351355265474633,0.11986268715866603,2280,2280,0.005515801447415326,116.49426915044286,157.18893456387255,1138,284,105593,671,-11.63395958648378,-5.720701328878652
V2_02_medium,complete,True,1120,0.9595227929929375,0.12492602926483892,0.1111894270968375,0.1574785707114198,0.1466876295803516,2348,2348,0.0057422807070104265,121.06176749258272,156.59321371242083,1171,233,86268,635,20.671092771240318,14.835334361710602
V2_03_difficult,complete,True,1095,0.9434689475975018,0.22736417303281364,0.20539369100243107,0.19965320934383676,0.24421748785433614,1922,1922,0.005827763215624766,111.48960768739715,156.21448065449013,1164,273,75785,866,-13.879548332856443,6.900945124607408
