sequence,status,pipeline_success,matched_poses,time_coverage,ate_rmse_se3_m,ate_mean_se3_m,baseline_ate_rmse_se3_m,tw_ate_rmse_se3_m,reduction_vs_baseline_pct,reduction_vs_tw_pct
MH_01_easy,complete,True,1816,0.9921217070822106,0.23576364864286695,0.20193828173793943,0.2149771450606859,0.20642224299045628,-9.669169053442037,-14.21426549161528
MH_02_easy,complete,True,1495,0.9911154991636019,0.1462237015188973,0.1038668082563799,,,,
MH_03_medium,complete,True,1308,0.9766580190242832,0.17047148137748447,0.15266243679237684,,,,
MH_04_difficult,complete,True,982,0.9773622028258487,0.3101857477777244,0.29536808322729863,,,,
MH_05_difficult,complete,True,1067,0.9489436603571197,0.44700490730481685,0.43012845557219775,,,,
V1_01_easy,complete,True,1386,0.9584335283112447,0.05970589532831976,0.05509432202957445,0.06529128682403589,0.05624082584151147,8.55457407474462,-6.161128388429023
V1_02_medium,complete,True,789,0.9338794631999959,0.15860984695618935,0.15176621855872618,0.19656208830293212,0.19503065579730636,19.3080169601437,18.67440207911152
V1_03_difficult,complete,True,984,0.9236499085643659,0.20381198874221176,0.18545938970407214,0.2505984771310602,0.2804728289606398,18.669901319623595,27.332715437182777
V2_01_easy,complete,True,1075,0.9486616946911404,0.1267196734957815,0.0927387556371577,0.11351355265474633,0.11986268715866603,-11.63395958648378,-5.720701328878652
V2_02_medium,complete,True,1120,0.9595227929929375,0.12492602926483892,0.1111894270968375,0.1574785707114198,0.1466876295803516,20.671092771240318,14.835334361710602
V2_03_difficult,complete,True,1095,0.9434689475975018,0.22736417303281364,0.20539369100243107,0.19965320934383676,0.24421748785433614,-13.879548332856443,6.900945124607408
