profile,sequence,status,pipeline_success,matched_poses,time_coverage,ate_rmse_se3_m,baseline_ate_rmse_se3_m,tw_ate_rmse_se3_m,reduction_vs_baseline_pct,reduction_vs_tw_pct
official,MH_01_easy,complete,True,1817,0.9926650384769762,0.19539369122523279,0.15168780020680228,0.16069134571909421,-28.813056131636458,-21.595653052033065
official,MH_02_easy,complete,True,1496,0.9917736097555353,0.11442756364710428,0.18100428212449432,0.1151121290633987,36.78184720049812,0.5946944269594607
official,MH_03_medium,complete,True,1308,0.9766580190242832,0.15285171337521858,0.1325259022906484,0.14299172387747966,-15.337236519991958,-6.89549662761413
official,MH_04_difficult,complete,True,982,0.9763779541417162,0.33182974315127245,0.3905366256191222,0.35807017001258484,15.032362809706024,7.328291787162873
official,MH_05_difficult,complete,True,1084,0.9630281644433802,0.46171355695896904,0.5747518172751903,0.49500654902907915,19.667316730222485,6.725767999516773
official,V1_01_easy,complete,True,1389,0.9604946786324521,0.0574701547568828,0.06529128682403589,0.05624082584151147,11.978829714647109,-2.1858301278071894
official,V1_02_medium,complete,True,792,0.9373902849035342,0.18241854855198983,0.19656208830293212,0.19503065579730636,7.195456597482289,6.466730675624749
official,V1_03_difficult,complete,True,977,0.9180633150462065,0.13810860279861367,0.2505984771310602,0.2804728289606398,44.88849079223079,50.758651627536025
official,V2_01_easy,complete,True,1075,0.949539269644742,0.11821229894089906,0.11351355265474633,0.11986268715866603,-4.139370300957858,1.3768990641618961
official,V2_02_medium,complete,True,1127,0.9654878612801836,0.13518160959325934,0.1574785707114198,0.1466876295803516,14.158727131845604,7.84389250818833
official,V2_03_difficult,complete,True,1095,0.9434689475975018,0.19997109082952325,0.19965320934383676,0.24421748785433614,-0.15921681736607457,18.11762024642712
paper,MH_01_easy,complete,True,1816,0.9921217070822106,0.23576364864286695,0.15168780020680228,0.16069134571909421,-55.426902045807616,-46.718323620867054
paper,MH_02_easy,complete,True,1495,0.9911154991636019,0.1462237015188973,0.18100428212449432,0.1151121290633987,19.21533579060578,-27.02718880159337
paper,MH_03_medium,complete,True,1308,0.9766580190242832,0.17047148137748447,0.1325259022906484,0.14299172387747966,-28.63257554256522,-19.217725861918016
paper,MH_04_difficult,complete,True,982,0.9773622028258487,0.3101857477777244,0.3905366256191222,0.35807017001258484,20.57447946502243,13.372915770441722
paper,MH_05_difficult,complete,True,1067,0.9489436603571197,0.44700490730481685,0.5747518172751903,0.49500654902907915,22.226447334434166,9.697173061329023
paper,V1_01_easy,complete,True,1386,0.9584335283112447,0.05970589532831976,0.06529128682403589,0.05624082584151147,8.55457407474462,-6.161128388429023
paper,V1_02_medium,complete,True,789,0.9338794631999959,0.15860984695618935,0.19656208830293212,0.19503065579730636,19.3080169601437,18.67440207911152
paper,V1_03_difficult,complete,True,984,0.9236499085643659,0.20381198874221176,0.2505984771310602,0.2804728289606398,18.669901319623595,27.332715437182777
paper,V2_01_easy,complete,True,1075,0.9486616946911404,0.1267196734957815,0.11351355265474633,0.11986268715866603,-11.63395958648378,-5.720701328878652
paper,V2_02_medium,complete,True,1120,0.9595227929929375,0.12492602926483892,0.1574785707114198,0.1466876295803516,20.671092771240318,14.835334361710602
paper,V2_03_difficult,complete,True,1095,0.9434689475975018,0.22736417303281364,0.19965320934383676,0.24421748785433614,-13.879548332856443,6.900945124607408
