error,estimate,label,overlap_estimate_poses,pairs,rotation_rpe_mean_deg,rotation_rpe_mean_rad,rotation_rpe_rmse_deg,rotation_rpe_rmse_rad,sequence,status,translation_rpe_mean_m,translation_rpe_median_m,translation_rpe_rmse_m
,D:\大论文实验\IR-VIO的复现\results\MH_01_easy\vins_mono.csv,vins_mono,1819,1809,0.23955166864220828,0.004180965346452989,0.5050795769801076,0.008815301602883036,MH_01_easy,complete,0.020868488640538307,0.016760440316602346,0.02729543321104937
estimate or groundtruth not found,D:\大论文实验\IR-VIO的复现\results\MH_02_easy\vins_mono.csv,vins_mono,,,,,,,MH_02_easy,missing,,,
estimate or groundtruth not found,D:\大论文实验\IR-VIO的复现\results\MH_03_medium\vins_mono.csv,vins_mono,,,,,,,MH_03_medium,missing,,,
estimate or groundtruth not found,D:\大论文实验\IR-VIO的复现\results\MH_04_difficult\vins_mono.csv,vins_mono,,,,,,,MH_04_difficult,missing,,,
estimate or groundtruth not found,D:\大论文实验\IR-VIO的复现\results\MH_05_difficult\vins_mono.csv,vins_mono,,,,,,,MH_05_difficult,missing,,,
,D:\大论文实验\IR-VIO的复现\results\V1_01_easy\vins_mono.csv,vins_mono,1391,1381,0.434027357292003,0.007575206428475272,0.520322522823415,0.009081341195551932,V1_01_easy,complete,0.04300108101996891,0.04020545772593472,0.04838583244599151
,D:\大论文实验\IR-VIO的复现\results\V1_02_medium\vins_mono.csv,vins_mono,797,787,0.3485973466893107,0.006084171463444626,0.4831915648295027,0.008433283724138456,V1_02_medium,complete,0.045991830842149604,0.04441305792277843,0.05153427696967873
,D:\大论文实验\IR-VIO的复现\results\V1_03_difficult\vins_mono.csv,vins_mono,994,984,0.47967143444660437,0.00837184585885739,0.6800548666479326,0.011869196517217396,V1_03_difficult,complete,0.05097567727415691,0.04435462826234536,0.059548361303689096
,D:\大论文实验\IR-VIO的复现\results\V2_01_easy\vins_mono.csv,vins_mono,1075,1065,0.3436950210906322,0.005998609740742884,0.7112741146935,0.012414075185609353,V2_01_easy,complete,0.01950256187690789,0.016891858500361866,0.02408774456157164
,D:\大论文实验\IR-VIO的复现\results\V2_02_medium\vins_mono.csv,vins_mono,1125,1115,0.5120548810418576,0.008937043625088306,1.2338995892961977,0.02153561047222443,V2_02_medium,complete,0.030151432625070158,0.02356066658383974,0.0381924656506956
,D:\大论文实验\IR-VIO的复现\results\V2_03_difficult\vins_mono.csv,vins_mono,1095,1085,0.6610151247863918,0.011536890333003716,1.4491049250473356,0.025291652148941652,V2_03_difficult,complete,0.04545822202965388,0.03766156429822439,0.055660616319456624
,D:\大论文实验\IR-VIO的复现\results\MH_01_easy\dual_gray_dce_trained_official.csv,dual_gray_dce_trained_official,1817,1807,0.23880505381085682,0.004167934459401683,0.5416064948481892,0.009452816585286608,MH_01_easy,complete,0.018803271706541055,0.015621266889354269,0.024312036536684452
,D:\大论文实验\IR-VIO的复现\results\MH_02_easy\dual_gray_dce_trained_official.csv,dual_gray_dce_trained_official,1496,1486,0.16550118724893698,0.002888540633453606,0.24068688052537443,0.004200778531522003,MH_02_easy,complete,0.01553972888510031,0.013385279300258776,0.019405870129854882
,D:\大论文实验\IR-VIO的复现\results\MH_03_medium\dual_gray_dce_trained_official.csv,dual_gray_dce_trained_official,1308,1298,0.24608922178217219,0.0042950671737694525,0.3563732578904426,0.006219886716247085,MH_03_medium,complete,0.037916997357204496,0.03028600312370023,0.0494835498219034
,D:\大论文实验\IR-VIO的复现\results\MH_04_difficult\dual_gray_dce_trained_official.csv,dual_gray_dce_trained_official,982,972,0.2484212090847651,0.0043357680303144,0.3429609855629957,0.0059857984039590134,MH_04_difficult,complete,0.042852220644403305,0.03878304851430717,0.05324690632156987
,D:\大论文实验\IR-VIO的复现\results\MH_05_difficult\dual_gray_dce_trained_official.csv,dual_gray_dce_trained_official,1084,1074,0.23342442955035603,0.004074024850243259,0.37178239855512824,0.006488826955748797,MH_05_difficult,complete,0.03749075064225986,0.03457268473309323,0.04521703262991797
