estimate,label,overlap_estimate_poses,pairs,rotation_rpe_mean_deg,rotation_rpe_mean_rad,rotation_rpe_rmse_deg,rotation_rpe_rmse_rad,sequence,status,translation_rpe_mean_m,translation_rpe_median_m,translation_rpe_rmse_m
/mnt/d/大论文实验/IR-VIO的复现/results/MH_01_easy/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1817,1807,0.24640780837380374,0.00430062755874613,0.5447608919995677,0.00950787120149369,MH_01_easy,complete,0.018415797622926226,0.015785915488786724,0.02359602960724093
/mnt/d/大论文实验/IR-VIO的复现/results/MH_02_easy/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1496,1486,0.16526083595537888,0.0028843457120195904,0.2644130211653119,0.004614877804480146,MH_02_easy,complete,0.01664255541498381,0.013998308978550995,0.02131515583532846
/mnt/d/大论文实验/IR-VIO的复现/results/MH_03_medium/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1308,1298,0.23602583119924228,0.004119427874183134,0.32405592165257385,0.005655842793422198,MH_03_medium,complete,0.03757165172784848,0.02898523137187216,0.049287140822507035
/mnt/d/大论文实验/IR-VIO的复现/results/MH_04_difficult/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,982,972,0.2517875086324926,0.004394521041030641,0.3461827553041135,0.006042028893682645,MH_04_difficult,complete,0.04494163036521825,0.03864761917136833,0.05724202396016013
/mnt/d/大论文实验/IR-VIO的复现/results/MH_05_difficult/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1075,1065,0.2277207961206129,0.0039744776675674255,0.34385642271355915,0.006001426730481022,MH_05_difficult,complete,0.039277833804543215,0.03562679949025619,0.047862923296740016
/mnt/d/大论文实验/IR-VIO的复现/results/V1_01_easy/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1390,1380,0.4353510449164748,0.007598309135790207,0.5458305724657877,0.009526540647573498,V1_01_easy,complete,0.042154722203642234,0.04018103033575171,0.04748769963260049
/mnt/d/大论文实验/IR-VIO的复现/results/V1_02_medium/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,795,785,0.6393030762425296,0.011157943598560479,1.2480306488994282,0.021782243989096367,V1_02_medium,complete,0.05517974534759768,0.047755535441798516,0.07105646363974805
/mnt/d/大论文实验/IR-VIO的复现/results/V1_03_difficult/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,989,979,0.490918824514485,0.008568149847798016,0.7345992160140065,0.012821175002013468,V1_03_difficult,complete,0.039391418336288675,0.03548610526102702,0.04534738457693818
/mnt/d/大论文实验/IR-VIO的复现/results/V2_01_easy/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1076,1066,0.38404009911523546,0.00670276418924622,0.8516439503497626,0.014863990988294471,V2_01_easy,complete,0.017156177810487137,0.013928364540651852,0.021518890214433366
/mnt/d/大论文实验/IR-VIO的复现/results/V2_02_medium/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1128,1118,0.4895049428978418,0.008543472958354172,0.942333995089131,0.01644683086777741,V2_02_medium,complete,0.02645247081001406,0.02090953394038205,0.03278383930105164
/mnt/d/大论文实验/IR-VIO的复现/results/V2_03_difficult/dual_gray_dce_reference_official_11seq_tracking.csv,dual_gray_dce_reference_official_11seq_tracking,1094,1084,0.7071405061484803,0.012341930106510187,1.5654294846643115,0.027321898715190314,V2_03_difficult,complete,0.04557706507120507,0.036419296990985506,0.059311480610688964
