stamp,raw_flow_attempts,raw_flow_success,raw_flow_after_f,enhanced_flow_attempts,enhanced_flow_success,enhanced_flow_after_f,enhanced_before_bnr,enhanced_removed_bnr,enhanced_after_bnr,published
1403638518.2778294,0,0,0,0,0,0,0,0,0,0
1403638518.3278296,0,0,0,0,0,0,0,0,0,0
1403638518.3778296,0,0,0,0,0,0,84,0,84,1
1403638518.4278295,68,68,68,84,84,84,0,0,0,0
1403638518.4778295,68,68,68,84,84,84,150,0,150,1
1403638518.5278296,150,150,150,150,150,150,0,0,0,0
1403638518.5778294,150,150,150,150,150,150,150,0,150,1
1403638518.6278296,150,150,150,150,150,150,0,0,0,0
1403638518.6778295,150,150,150,150,150,150,150,0,150,1
1403638518.7278297,150,150,150,150,150,150,0,0,0,0
1403638518.7778294,150,150,150,150,150,150,150,0,150,1
1403638518.8278296,150,150,150,150,150,150,0,0,0,0
1403638518.8778296,150,150,150,150,150,150,150,0,150,1
1403638518.9278295,150,150,150,150,150,150,0,0,0,0
1403638518.9778295,150,150,150,150,150,150,150,0,150,1
1403638519.0278296,150,150,150,150,150,150,0,0,0,0
1403638519.0778294,150,150,150,150,150,150,150,0,150,1
1403638519.1278296,150,150,150,150,150,150,0,0,0,0
1403638519.1778295,150,150,150,150,150,150,150,0,150,1
1403638519.2278297,150,150,150,150,150,150,0,0,0,0
1403638519.2778294,150,150,150,150,150,150,150,0,150,1
1403638519.3278296,150,150,150,150,150,150,0,0,0,0
1403638519.3778296,150,150,150,150,150,150,150,0,150,1
1403638519.4278295,150,150,150,150,150,150,0,0,0,0
1403638519.4778295,150,150,150,150,150,150,150,0,150,1
1403638519.5278296,150,150,150,150,150,150,0,0,0,0
1403638519.5778294,150,150,150,150,150,150,150,0,150,1
1403638519.6278296,150,150,150,150,150,150,0,0,0,0
1403638519.6778295,150,150,150,150,150,150,150,0,150,1
1403638519.7278297,150,150,150,150,150,150,0,0,0,0
1403638519.7778294,150,150,150,150,150,150,150,0,150,1
1403638519.8278296,150,150,150,150,150,150,0,0,0,0
1403638519.8778296,150,150,150,150,150,150,150,0,150,1
1403638519.9278295,150,150,150,150,150,150,0,0,0,0
1403638519.9778295,150,150,150,150,150,150,150,0,150,1
1403638520.0278296,150,150,150,150,150,150,0,0,0,0
1403638520.0778294,150,150,150,150,150,150,150,0,150,1
1403638520.1278296,150,150,150,150,150,150,0,0,0,0
1403638520.1778295,150,150,150,150,150,150,150,0,150,1
1403638520.2278297,150,150,150,150,150,150,0,0,0,0
1403638520.2778294,150,150,150,150,150,150,150,0,150,1
1403638520.3278296,150,150,150,150,150,150,0,0,0,0
1403638520.3778296,150,150,150,150,150,150,150,0,150,1
1403638520.4278295,150,150,150,150,150,150,0,0,0,0
1403638520.4778295,150,150,150,150,150,150,150,0,150,1
1403638520.5278296,150,150,150,150,150,150,0,0,0,0
1403638520.5778294,150,150,150,150,150,150,150,0,150,1
1403638520.6278296,150,150,150,150,150,150,0,0,0,0
1403638520.6778295,150,150,150,150,150,150,150,0,150,1
1403638520.7278297,150,150,150,150,150,150,0,0,0,0
1403638520.7778294,150,150,150,150,150,150,150,0,150,1
1403638520.8278296,150,150,150,150,150,150,0,0,0,0
1403638520.8778296,150,150,150,150,150,150,150,0,150,1
1403638520.9278295,150,150,150,150,150,150,0,0,0,0
1403638520.9778295,150,150,150,150,150,150,150,0,150,1
1403638521.0278296,150,150,150,150,150,150,0,0,0,0
1403638521.0778294,150,150,150,150,150,150,150,0,150,1
1403638521.1278296,150,150,150,150,150,150,0,0,0,0
1403638521.1778295,150,150,150,150,150,150,150,0,150,1
1403638521.2278297,150,150,150,150,150,150,0,0,0,0
1403638521.2778294,150,150,150,150,150,150,150,0,150,1
1403638521.3278296,150,150,150,150,150,150,0,0,0,0
1403638521.3778296,150,150,150,150,150,149,150,0,150,1
1403638521.4278295,150,150,150,150,150,150,0,0,0,0
1403638521.4778295,150,150,150,150,150,150,150,0,150,1
1403638521.5278296,150,150,150,150,150,150,0,0,0,0
1403638521.5778294,150,150,150,150,149,148,150,0,150,1
1403638521.6278296,150,150,150,150,150,150,0,0,0,0
1403638521.6778295,150,150,150,150,150,149,150,0,150,1
1403638521.7278297,150,150,150,150,150,150,0,0,0,0
1403638521.7778294,150,150,150,150,150,150,150,0,150,1
1403638521.8278296,150,150,150,150,150,150,0,0,0,0
1403638521.8778296,150,150,150,150,150,150,150,0,150,1
1403638521.9278295,150,150,150,150,149,149,0,0,0,0
1403638521.9778295,150,150,149,149,149,144,145,0,145,1
1403638522.0278296,150,149,149,145,145,145,0,0,0,0
1403638522.0778294,149,147,142,145,143,128,145,0,145,1
1403638522.1278296,144,141,141,145,142,142,0,0,0,0
1403638522.1778295,141,135,101,142,141,103,132,0,132,1
1403638522.2278297,106,102,102,132,130,130,0,0,0,0
1403638522.2778294,102,96,75,130,129,82,122,0,122,1
1403638522.3278296,85,77,77,122,119,119,0,0,0,0
1403638522.3778296,77,72,46,119,110,72,104,3,101,1
1403638522.4278295,58,56,56,101,99,99,0,0,0,0
1403638522.4778295,56,55,39,99,97,66,121,1,120,1
1403638522.5278296,55,54,54,120,113,113,0,0,0,0
1403638522.5778294,54,52,43,113,104,70,114,0,114,1
1403638522.6278296,72,65,65,114,111,111,0,0,0,0
1403638522.6778295,65,61,45,111,108,83,130,0,130,1
1403638522.7278297,58,56,56,130,122,122,0,0,0,0
1403638522.7778294,56,56,46,122,121,97,143,0,143,1
1403638522.8278296,56,56,56,143,140,140,0,0,0,0
1403638522.8778296,56,54,51,140,135,97,150,0,150,1
1403638522.9278295,93,88,88,150,146,146,0,0,0,0
1403638522.9778295,88,87,73,146,144,123,150,0,150,1
1403638523.0278296,98,96,96,150,147,147,0,0,0,0
1403638523.0778294,96,95,79,147,147,124,150,0,150,1
1403638523.1278296,103,101,101,150,148,148,0,0,0,0
1403638523.1778295,101,100,92,148,147,136,150,5,145,1
1403638523.2278297,109,108,108,145,144,144,0,0,0,0
1403638523.2778294,108,106,92,144,142,130,150,0,150,1
1403638523.3278296,116,114,114,150,147,147,0,0,0,0
1403638523.3778296,114,114,99,147,147,128,150,0,150,1
1403638523.4278295,109,106,106,150,150,150,0,0,0,0
1403638523.4778295,106,104,88,150,144,120,150,0,150,1
1403638523.5278296,108,105,105,150,145,145,0,0,0,0
1403638523.5778294,105,103,66,145,141,108,128,0,128,1
1403638523.6278296,79,77,77,128,124,124,0,0,0,0
1403638523.6778295,77,74,63,124,116,93,128,0,128,1
1403638523.7278297,98,94,94,128,124,124,0,0,0,0
1403638523.7778294,94,92,67,124,121,89,120,0,120,1
1403638523.8278296,73,72,72,120,116,116,0,0,0,0
1403638523.8778296,72,72,57,116,116,80,109,0,109,1
1403638523.9278295,73,73,73,109,108,108,0,0,0,0
1403638523.9778295,73,72,48,108,107,69,92,0,92,1
1403638524.0278296,61,61,61,92,90,90,0,0,0,0
1403638524.0778294,61,60,51,90,89,71,137,0,137,1
1403638524.1278296,96,93,93,137,135,135,0,0,0,0
1403638524.1778295,93,88,68,135,130,109,128,0,128,1
1403638524.2278297,82,77,77,128,123,123,0,0,0,0
1403638524.2778294,77,73,55,123,117,79,116,0,116,1
1403638524.3278296,83,76,76,116,109,109,0,0,0,0
1403638524.3778296,76,69,47,109,102,66,113,0,113,1
1403638524.4278295,70,68,68,113,108,108,0,0,0,0
1403638524.4778295,68,64,51,108,106,82,132,0,132,1
1403638524.5278296,84,83,83,132,129,129,0,0,0,0
1403638524.5778294,83,80,62,129,126,101,129,0,129,1
1403638524.6278296,74,74,74,129,127,127,0,0,0,0
1403638524.6778295,74,72,68,127,122,94,143,5,138,1
1403638524.7278297,81,77,77,138,134,134,0,0,0,0
1403638524.7778294,77,76,69,134,129,108,150,0,150,1
1403638524.8278296,88,87,87,150,149,149,0,0,0,0
1403638524.8778296,87,86,72,149,146,125,150,0,150,1
1403638524.9278295,103,101,101,150,149,149,0,0,0,0
1403638524.9778295,101,98,93,149,145,138,150,0,150,1
1403638525.0278296,127,126,126,150,149,149,0,0,0,0
1403638525.0778294,126,126,114,149,148,141,150,0,150,1
1403638525.1278296,128,128,128,150,150,150,0,0,0,0
1403638525.1778295,128,128,108,150,150,134,150,3,147,1
1403638525.2278297,128,127,127,147,146,146,0,0,0,0
1403638525.2778294,127,123,103,146,140,115,150,0,150,1
1403638525.3278296,118,114,114,150,146,146,0,0,0,0
1403638525.3778296,114,112,73,146,141,106,143,0,143,1
1403638525.4278295,82,80,80,143,136,136,0,0,0,0
1403638525.4778295,80,77,64,136,129,95,107,0,107,1
1403638525.5278296,69,65,65,107,105,105,0,0,0,0
1403638525.5778294,65,63,56,105,100,78,136,0,136,1
1403638525.6278296,92,89,89,136,134,134,0,0,0,0
1403638525.6778295,89,88,64,134,134,98,139,0,139,1
1403638525.7278297,83,81,81,139,137,137,0,0,0,0
1403638525.7778294,81,81,59,137,136,91,124,0,124,1
1403638525.8278296,80,80,80,124,120,120,0,0,0,0
1403638525.8778296,80,79,58,120,118,87,114,0,114,1
1403638525.9278295,69,68,68,114,113,113,0,0,0,0
1403638525.9778295,68,68,57,113,113,87,122,0,122,1
1403638526.0278296,74,74,74,122,122,122,0,0,0,0
1403638526.0778294,74,73,66,122,119,113,148,0,148,1
1403638526.1278296,73,70,70,148,143,143,0,0,0,0
1403638526.1778295,70,70,53,143,139,109,134,0,134,1
1403638526.2278297,66,65,65,134,128,128,0,0,0,0
1403638526.2778294,65,62,53,128,124,89,124,0,124,1
1403638526.3278296,68,67,67,124,119,119,0,0,0,0
1403638526.3778296,67,66,49,119,114,80,121,0,121,1
1403638526.4278295,69,67,67,121,119,119,0,0,0,0
1403638526.4778295,67,63,52,119,114,98,124,0,124,1
1403638526.5278296,65,61,61,124,120,120,0,0,0,0
1403638526.5778294,61,60,51,120,118,90,133,0,133,1
1403638526.6278296,81,79,79,133,130,130,0,0,0,0
1403638526.6778295,79,78,60,130,129,97,121,0,121,1
1403638526.7278297,76,75,75,121,120,120,0,0,0,0
1403638526.7778294,75,75,65,120,117,100,135,0,135,1
1403638526.8278296,75,74,74,135,132,132,0,0,0,0
1403638526.8778296,74,74,62,132,128,99,123,0,123,1
1403638526.9278295,69,67,67,123,122,122,0,0,0,0
1403638526.9778295,67,67,58,122,116,94,131,0,131,1
