sequence,baseline_ate_rmse_se3_m,weighting_ate_rmse_se3_m,relative_ate_reduction_percent,baseline_success,weighting_success,weight_rows,valid_weight_rows,alpha_min,alpha_mean,alpha_max,beta_mean,hybrid_mean
MH_01_easy,0.1516878002,0.1606913457,-5.9355765592,true,true,20119,18290,0.3361082477,1.0227829079,2.1824368064,2.3345377187,1.5136052020
MH_02_easy,0.1810042821,0.1151121291,36.4036432109,true,true,16588,15080,0.2688821883,1.0247008285,2.5633132386,2.3361228779,1.5119385011
MH_03_medium,0.1325259023,0.1429917239,-7.8971894595,true,true,14509,13190,0.2500000000,1.0350716221,3.5870068412,2.3267000192,1.5076263384
MH_04_difficult,0.3905366256,0.3580701700,8.3132934216,true,true,10857,9870,0.2500000000,1.0870904789,4.0000000000,2.3153161879,1.5456979045
MH_05_difficult,0.5747518173,0.4950065490,13.8747309446,true,true,11979,10890,0.2500000000,1.0920906962,4.0000000000,2.3368216556,1.5525502885
V1_01_easy,0.0652912868,0.0562408258,13.8616673415,true,true,15411,14010,0.2500000000,1.0529929676,3.3807822020,2.3347385744,1.5294504546
V1_02_medium,0.1965620883,0.1950306558,0.7791087889,true,true,8877,8070,0.2500000000,1.0881491359,3.8045441701,2.3031358636,1.5461358365
V1_03_difficult,0.2505984771,0.2804728290,-11.9212024636,true,true,11033,9957,0.2500000000,1.1285512510,4.0000000000,2.2624302396,1.5788126881
V2_01_easy,0.1135135527,0.1198626872,-5.5932832296,true,true,11924,10840,0.3649816100,1.0707491226,4.0000000000,2.3357731442,1.5435005933
V2_02_medium,0.1574785707,0.1466876296,6.8523235144,true,true,12496,11360,0.2500000000,1.0925743084,4.0000000000,2.2931769321,1.5536854846
V2_03_difficult,0.1996532093,0.2442174879,-22.3208425534,true,true,12122,10977,0.2500000000,1.1293532363,4.0000000000,2.2752164636,1.5805751988
